VOLUNTEER QUALITY CONTROL
                      volunteer_id       bias   scatter  n_overlap  teolixx_mean_count  relative_scatter
                       FinnBultman  -1.000000  3.098387          6            5.833333          0.531152
                  Emma.harringtonn   0.043478  3.323173         23            6.260870          0.530785
                     Mr_Nightshade  -1.000000  4.242641          2            8.000000          0.530330
                            K_Lepo  -1.500000  2.121320          2            4.000000          0.530330
not-logged-in-d091fcbdaf13d8711a2c  -1.500000  2.121320          2            4.000000          0.530330
not-logged-in-01bce94efc37ff71f919  -1.000000  4.242641          2            8.000000          0.530330
                        atharv1107  -2.500000  2.121320          2            4.000000          0.530330
not-logged-in-7ee6f1086fe15f9f6425   0.500000  2.121320          2            4.000000          0.530330
                         aduxfield   0.500000  2.121320          2            4.000000          0.530330
                            Lyonic  -1.750000  3.826286         98            7.229592          0.529253
not-logged-in-8b4b39a95839c10d7852  -2.000000  2.645751          3            5.000000          0.529150
                          jungwonn  -3.000000  2.645751          3            5.000000          0.529150
                 parmagnus_utep596   0.000000  2.645751          3            5.000000          0.529150
                         Coppinger   1.500000  2.380476          4            4.500000          0.528995
                           evawong   0.666667  4.041452          3            7.666667          0.527146
                       kylestenner   1.200000  3.898718          5            7.400000          0.526854
not-logged-in-76d3234b0e07ea4a761c  -1.230769  4.456341         13            8.461538          0.526658
                       Jdrauch2002  -1.080000  3.299692        375            6.272000          0.526099
                   abdullahhussein  -2.977273  3.573971         22            6.795455          0.525936
                              AAGH  -1.750000  7.228416          4           13.750000          0.525703
                         kashmisak  11.333333  6.658328          3           12.666667          0.525657
                           Klarion   1.142857  3.078342          7            5.857143          0.525571
not-logged-in-715e4c4d72ea894af3a0   0.250000  1.707825          4            3.250000          0.525485
                         kschirmer   2.750000  1.707825          4            3.250000          0.525485
                       Eleanora713  -1.750000  2.362908          4            4.500000          0.525091
                    elainecruz1991  -8.285714  7.782765          7           14.857143          0.523840
                         Sghenry01   0.350000  2.906888         20            5.550000          0.523764
not-logged-in-2655c515fea562118b59  -0.285714  3.473605         14            6.642857          0.522908
                          2001-DDT  -0.616667  2.270606         60            4.350000          0.521978
                       IvanKartsev   1.000000  1.825742          4            3.500000          0.521641
                         jlsgoupis  -0.400000  2.190890          5            4.200000          0.521641
                         jpbolengo   1.500000  4.949747          2            9.500000          0.521026
                      Kanderson268   0.333333  5.033223          3            9.666667          0.520678
not-logged-in-043f8be233c621980c3f   0.750000  3.774917          4            7.250000          0.520678
                          005QuaKs   2.666667  2.081666          3            4.000000          0.520416
                     Morena.Basaly  -3.333333  4.163332          3            8.000000          0.520416
                        zaluvslacy   2.666667  2.081666          3            4.000000          0.520416
not-logged-in-cc66ad1a14515899ea02  -2.500000  4.679744          6            9.000000          0.519972
                          pelabuan  -0.578947  3.796382         38            7.315789          0.518930
not-logged-in-68f21773f31c12165b88  -1.500000  1.643168          6            3.166667          0.518895
                          rsing123  -5.500000  7.778175          2           15.000000          0.518545
not-logged-in-d9e1264b592c34e865ad   2.666667  7.767453          3           15.000000          0.517830
                 parmagnus_utep668  -2.687500  3.300884         16            6.375000          0.517786
                           Cun2021  -1.769231  3.982333         13            7.692308          0.517703
                           MistaMr   0.967742  2.651841         31            5.129032          0.517026
not-logged-in-96f476ee3223102275a8  -0.285714  3.988077          7            7.714286          0.516973
not-logged-in-598ae44b7299423352c9   0.000000  4.415880          9            8.555556          0.516142
                     valerieflores  -0.427374  2.699933        179            5.231844          0.516058
not-logged-in-e4423afc120968722624  -0.291667  1.010363         12            1.958333          0.515930
not-logged-in-e1058567a2f9b2d201cb   1.125000  3.482097          8            6.750000          0.515866
not-logged-in-333e9f71191b1b52d163  -1.000000  2.449490          4            4.750000          0.515682
                         mchilders  -3.363636  4.031693         11            7.818182          0.515682
                           konakid  -1.750000  2.061553          4            4.000000          0.515388
                             GWard   0.716346  2.667463        104            5.177885          0.515165
                  planethunterzoon  -2.000000  3.605551          3            7.000000          0.515079
                           Natania   0.000000  1.414214          4            2.750000          0.514259
                            p.drew  -2.000000  2.828427          4            5.500000          0.514259
                         PratyushM  -2.000000  2.828427          2            5.500000          0.514259
                            RobinO   0.000000  2.828427          2            5.500000          0.514259
                         aalverson   2.000000  2.828427          2            5.500000          0.514259
                    matt_stridiron   1.000000  2.828427          2            5.500000          0.514259
                        Jake-Steak  -2.000000  3.464102          8            6.750000          0.513200
                         haydenp24  -0.400000  1.949359          5            3.800000          0.512989
                   mariomartinez.1  -1.076923  2.596842         13            5.076923          0.511499
                            Saxeen  15.666667 15.502688          3           30.333333          0.511078
                        Ferrisrc20  -1.141176  2.845853         85            5.576471          0.510332
                          jcressw5  -0.500000  3.316625          4            6.500000          0.510250
                      mbanderson81  -4.800000  5.403702          5           10.600000          0.509783
                          Caprarom   1.666667  1.527525          3            3.000000          0.509175
not-logged-in-10f9a9a669741b9e5c70   0.666667  1.527525          3            3.000000          0.509175
                          JWells10  -1.333333  1.527525          3            3.000000          0.509175
                             hrawn   0.666667  1.527525          3            3.000000          0.509175
not-logged-in-704c59c1a4e9a5f66054  -0.250000  3.304038          4            6.500000          0.508314
                            Feb991   1.679487  3.257922        117            6.423077          0.507221
                         mari1moon  -1.214286  3.400873         14            6.714286          0.506513
                            hjd_uk   3.666667  3.881580          6            7.666667          0.506293
not-logged-in-14de3642a318c3c837c1  -1.166667  1.602082          6            3.166667          0.505921
                        Aredytaden  -2.142857  3.505098         14            6.928571          0.505890
                       Beateretaer   0.105960  2.495916        302            4.933775          0.505884
                          TaYuMa25   4.250000  5.560276          4           11.000000          0.505480
                     Andrewzgodava   1.666667  2.188122         12            4.333333          0.504951
                          jwells55  -0.869427  3.176005        157            6.289809          0.504945
                          Jack1209  -7.000000  6.055301          4           12.000000          0.504608
                        brinbrin22  -1.800000  4.438468          5            8.800000          0.504371
                       carloartemi  -2.200000  4.438468          5            8.800000          0.504371
                   AdrianaCaDavila  -0.073770  3.532983         61            7.008197          0.504122
                          LindaZed   4.250000  3.774917          4            7.500000          0.503322
not-logged-in-634a9754360e83df15b4   0.722222  1.201850          9            2.388889          0.503100
                       danieljkang  -3.000000  4.358899          3            8.666667          0.502950
not-logged-in-58e4099bde54311e2936   0.000000  1.632993          4            3.250000          0.502459
                           CBuck22  -4.583333  5.567084         12           11.083333          0.502293
                       JackHuggins   0.777778  2.564718         36            5.111111          0.501793
                           Sandy49   2.333333  3.511885          3            7.000000          0.501698
                           saflalo   0.200000  1.303840          5            2.600000          0.501477
                       fouriertenn   2.430000  3.479391        100            6.940000          0.501353
                       Avinavkarki  -0.100000  4.159327          5            8.300000          0.501124
                  Kajsaperssonklep  -1.759259  4.425207         54            8.833333          0.500967
                          cass.exe   1.000000  1.000000          3            2.000000          0.500000
                           Sofia02  -3.000000  3.000000          3            6.000000          0.500000
                   avaclairecooley   0.500000  1.000000          4            2.000000          0.500000
                         Amemarian   1.000000  1.000000          3            2.000000          0.500000
                            Jim295  -1.312500  2.153693          8            4.312500          0.499407
                            elee98   2.000000  4.242641          2            8.500000          0.499134
not-logged-in-b139323de2d400432687  -0.200000  1.095445          5            2.200000          0.497930
                            cgurin   0.550000  2.089447         20            4.200000          0.497487
                  Jasminefree60085  -3.090909  4.968995         11           10.000000          0.496899
                           lara_01   1.800000  3.563706          5            7.200000          0.494959
not-logged-in-d2ba2937bf5dbc1db742   0.666667  1.154701          3            2.333333          0.494872
                           mackyna  -0.666667  1.154701          3            2.333333          0.494872
                           Tuna1er   0.666667  1.154701          3            2.333333          0.494872
not-logged-in-52f24716940f1d1b6089   0.071429  2.580144         21            5.214286          0.494822
                      AmmonMiller2  -0.214286  1.625687         14            3.285714          0.494774
                        bkbilal347   4.333333  4.932883          3           10.000000          0.493288
                             Patk5  -0.805898  2.384354        729            4.842936          0.492337
                           Encanto  -3.000000  5.656854          2           11.500000          0.491900
not-logged-in-ab5e6bb10a77a470c21d  -4.000000  5.656854          2           11.500000          0.491900
not-logged-in-7a38fcc27cbfc6b6a23e  -4.000000  5.656854          2           11.500000          0.491900
                     Jazmineromo89  -3.000000  2.581989          4            5.250000          0.491807
                             lezhe   1.125000  4.303100         16            8.750000          0.491783
                           ibrenna  -0.375000  1.597990          8            3.250000          0.491689
                          merrillp   0.818182  1.250454         11            2.545455          0.491250
                       EvelynSingh   1.111111  2.891559          9            5.888889          0.491019
                          dianas28  -5.333333  4.499158         12            9.166667          0.490817
                   thecuriousguy78   0.291667  2.985169         24            6.083333          0.490713
                          jpitts20  -0.333333  0.816497          6            1.666667          0.489898
                      matthewh8888   0.394737  1.778847         38            3.631579          0.489827
                          camowens  -0.217391  2.214755         23            4.521739          0.489802
                           rwbodge   0.265625  2.601844         64            5.312500          0.489759
                           Jkhan24   0.366667  2.838143         90            5.800000          0.489335
                         kzmarlatt   1.428571  2.935821          7            6.000000          0.489304
                          Jpino314  -0.750000  2.812691         70            5.764286          0.487951
                          nastro12  -1.888889  3.140241          9            6.444444          0.487279
                             tholl   1.285714  4.794686         14            9.857143          0.486417
not-logged-in-7747e38925137de2b8fa  -0.333333  5.507571          3           11.333333          0.485962
                      catandstring  -0.666667  3.754363         15            7.733333          0.485478
                        Unknown999  -0.428571  3.258688          7            6.714286          0.485337
not-logged-in-c42d98b4276d2d433561  -1.333333  3.881580          6            8.000000          0.485198
not-logged-in-1497c3c10c0391da9d39  -0.750000  2.667140         12            5.500000          0.484935
                           NazarSO  -2.097561  3.477103         41            7.170732          0.484902
                           mi10042   0.500000  2.540580         12            5.250000          0.483920
                        Adamsatoms   0.333333  3.055050        102            6.323529          0.483124
not-logged-in-06b2715fdb8260d7e72f   0.400000  0.966092         10            2.000000          0.483046
                          SophieMu  -1.428571  4.755949          7            9.857143          0.482488
                      alexia.teran  -1.181818  3.156797         22            6.545455          0.482288
                     rhernandez191   1.333333  3.214550          3            6.666667          0.482183
                 parmagnus_utep214  -1.125000  2.167124          8            4.500000          0.481583
                   alexanderivanov   3.400000  2.792848          5            5.800000          0.481526
                       kyliedeleon  -2.714286  3.093773          7            6.428571          0.481254
                          Grooters  -3.333333  5.773503          3           12.000000          0.481125
not-logged-in-620d5de879fc59889ff3  -6.000000  5.291503          3           11.000000          0.481046
not-logged-in-a069fd7a12a9a3b5904b  -0.333333  3.444803          6            7.166667          0.480670
                         rongilman  -0.277778  2.696524         18            5.611111          0.480569
                       swanshelbyl  -0.333333  2.081666          3            4.333333          0.480384
not-logged-in-bd80256dc4b2e9077632  -2.333333  2.081666          3            4.333333          0.480384
                   ReynaMorrigan13   1.714286  2.811541          7            5.857143          0.480019
not-logged-in-617d5066d71e5bc3d6df  -4.000000  4.000000          6            8.333333          0.480000
                          Hangar77  -1.500000  3.000000          4            6.250000          0.480000
                      sciencenerd5  -1.800000  3.359894         10            7.000000          0.479985
                        Jackson270 -11.500000 13.435029          2           28.000000          0.479822
                            mw22bf   0.500000  2.516611          4            5.250000          0.479355
                      katielinds88  -2.750000  3.593976          4            7.500000          0.479197
                  Bhumika_Padaliya  -0.500000  1.914854          4            4.000000          0.478714
                     NoeGonzalez77   0.666667  3.983298          6            8.333333          0.477996
                     jake331431343  -1.142857  2.115701          7            4.428571          0.477739
                        rwaddell66   0.153846  2.939562         13            6.153846          0.477679
                            Sage42  -0.275862  2.403815         29            5.034483          0.477470
not-logged-in-bdd12d2ab3dc9c3fe3a8  -1.166667  3.816630          6            8.000000          0.477079
                           lberna4   1.428571  2.408775         14            5.071429          0.474970
                           s1eeper   3.000000  3.559026          4            7.500000          0.474537
not-logged-in-d2f2c2cd777871e0f5cc  -4.857143  5.080307          7           10.714286          0.474162
not-logged-in-17275dc694b3274035c3   0.125000  1.125992          8            2.375000          0.474102
                        FailsafeFM  -1.666667  3.785939          3            8.000000          0.473242
                     amcmaster0002  -5.800000  6.418723          5           13.600000          0.471965
                         camilla15   2.333333  3.932768          6            8.333333          0.471932
                       C.walters97   0.666667  2.516611          3            5.333333          0.471865
                       AshtonAlden  -0.150000  1.732791         40            3.675000          0.471508
                          ajensen4  -0.500000  0.707107          2            1.500000          0.471405
                          Iceman28   0.500000  0.707107          2            1.500000          0.471405
                      knelson41117   0.500000  0.707107          2            1.500000          0.471405
not-logged-in-771e2c8f19b7807d4d74   1.500000  0.707107          2            1.500000          0.471405
                   spaceologist.98   0.500000  0.707107          2            1.500000          0.471405
                        Ineedspace   0.500000  0.707107          2            1.500000          0.471405
                          GalenJin  -1.000000  1.414214          2            3.000000          0.471405
                          beckrude  -1.000000  5.656854          2           12.000000          0.471405
                      Bxfive121323  -0.500000  0.707107          2            1.500000          0.471405
                           Monty25  -0.500000  0.707107          2            1.500000          0.471405
                          Lennie88   1.000000  1.414214          2            3.000000          0.471405
                      kriskriskris  -5.000000  5.656854          2           12.000000          0.471405
                         ZacBenson   0.500000  0.707107          2            1.500000          0.471405
                   Greysel.Mayorga   1.000000  1.414214          2            3.000000          0.471405
                        TomDofe123   1.500000  0.707107          2            1.500000          0.471405
                          slaquis2   1.000000  1.414214          4            3.000000          0.471405
not-logged-in-a484b558171c2b40f9ac  -0.500000  0.707107          2            1.500000          0.471405
                       bakergirl26   0.500000  0.707107          2            1.500000          0.471405
                            Hydreo  -0.500000  0.707107          2            1.500000          0.471405
not-logged-in-e877fe337e4dbfa7e55f   1.500000  0.707107          2            1.500000          0.471405
                            StacyP   0.000000  1.414214          2            3.000000          0.471405
not-logged-in-b79810961028ca7f102c  -1.000000  1.414214          2            3.000000          0.471405
not-logged-in-382c4ea8731e5fef65a0  -0.500000  0.707107          2            1.500000          0.471405
                       SleepyRamna  -1.000000  2.828427          2            6.000000          0.471405
                         gabri3ll4   1.000000  1.414214          2            3.000000          0.471405
not-logged-in-1da659d2678de0dcee97  -0.500000  0.707107          2            1.500000          0.471405
                           SHARAYU  -3.000000  2.828427          2            6.000000          0.471405
                       Evangeline1  -1.000000  2.828427          2            6.000000          0.471405
                         NotSoMine   1.000000  1.414214          2            3.000000          0.471405
not-logged-in-2fcf7425c4347c3bcc1b   1.500000  0.707107          2            1.500000          0.471405
                          e_bittel   1.500000  0.707107          2            1.500000          0.471405
                 Raffaela_Alvarado   0.500000  0.707107          2            1.500000          0.471405
not-logged-in-5826b44afa610e970814   0.500000  0.707107          2            1.500000          0.471405
                            otgbxr   1.000000  1.414214          2            3.000000          0.471405
                           Rissy11  -0.500000  0.707107          2            1.500000          0.471405
not-logged-in-59d7a65c99db02cc70d6  -2.000000  2.828427          2            6.000000          0.471405
not-logged-in-4b29b5761a377cfdd291   0.500000  0.707107          2            1.500000          0.471405
not-logged-in-27d938648b42a3167da6   2.000000  1.414214          4            3.000000          0.471405
not-logged-in-2de3eb23d44b7d5df865   3.000000  1.414214          2            3.000000          0.471405
                         wabuswell   0.500000  0.707107          2            1.500000          0.471405
                         rhisky104   0.500000  0.707107          2            1.500000          0.471405
       SayoNiiyama_Bloomnerg_Sales  -0.500000  0.707107          2            1.500000          0.471405
                     reesegalliher  -0.500000  0.707107          2            1.500000          0.471405
                          achan480  -4.500000  4.949747          2           10.500000          0.471405
                         dsteele86   0.500000  4.949747          2           10.500000          0.471405
                           Esselyn  -0.500000  2.121320          2            4.500000          0.471405
                            xim-04   1.500000  2.121320          2            4.500000          0.471405
                       muskankhera  -1.500000  2.121320          2            4.500000          0.471405
not-logged-in-5a955d012d981723270d  -0.500000  2.121320          2            4.500000          0.471405
not-logged-in-9070674a4d83ade1293a  -0.500000  2.121320          2            4.500000          0.471405
                       jessacorpuz  -1.500000  2.121320          2            4.500000          0.471405
                        nickmeesey -16.000000  8.485281          2           18.000000          0.471405
                        LoganRose1  -1.500000  2.121320          2            4.500000          0.471405
                  BcAstronomyClass  -0.800000  3.895052         15            8.266667          0.471176
not-logged-in-c78a77e1464390be7e0b  -0.500000  3.415650          4            7.250000          0.471124
                           hhaiden   1.000000  2.943920          4            6.250000          0.471027
not-logged-in-f8fefc76d565507a5f63  -0.833333  3.996210         12            8.500000          0.470142
                          pdubya32  -0.260870  2.942130         23            6.260870          0.469923
                          boatmans   0.500000  1.290994          4            2.750000          0.469453
                           bea147u  -0.764706  2.307889        272            4.919118          0.469167
                        Oriontea28  -0.500000  1.445998         12            3.083333          0.468972
                         p.titchin  -0.727273  3.068906         11            6.545455          0.468861
not-logged-in-55857eb98a485f37cb05   0.375000  2.868652          4            6.125000          0.468351
not-logged-in-3f9e3c24daf4ebb0264d  -1.000000  3.464102          5            7.400000          0.468122
not-logged-in-2e893684df87a28b19c7  -1.750000  2.866058          8            6.125000          0.467928
                            B0sTiK  -3.625000  4.269563          4            9.125000          0.467897
                          frosttnz  -1.000000  2.645751          3            5.666667          0.466897
                       daisyalicef  -2.000000  2.645751          3            5.666667          0.466897
                          nivabhut   1.333333  1.632993          6            3.500000          0.466569
                           ter6070  -0.666667  1.658312          9            3.555556          0.466400
                        BryannaC12  -1.550000  3.068945         20            6.600000          0.464992
not-logged-in-960c4a8ff2e90e778d18   0.750000  4.645787          4           10.000000          0.464579
                           ava.ozy   0.827586  3.892015         29            8.379310          0.464479
                    LucyMerino2011  -3.437500  4.381305         16            9.437500          0.464244
                         JackieHYH  -0.358333  2.655381        180            5.725000          0.463822
                         Elijah123  -0.500000  1.091928         14            2.357143          0.463242
                           ROL0331  -1.428571  4.755949          7           10.285714          0.462384
                           ktwalsh  -2.333333  4.546061          6            9.833333          0.462311
not-logged-in-3c459515e8ad522420e2   3.800000  2.588436          5            5.600000          0.462221
not-logged-in-69c05eabbc721d9bcbaf  -2.666667  4.618802          3           10.000000          0.461880
                       Capricia_L.  -1.000000  1.154701          4            2.500000          0.461880
                        rickhuziak   1.176471  1.629237         17            3.529412          0.461617
not-logged-in-339e0c08c2d9e1af3c9d   1.000000  2.000000          3            4.333333          0.461538
not-logged-in-0ae900ec7c7bed4e92f0  -4.333333  9.073772          3           19.666667          0.461378
                          habeebku -10.000000 10.148892          3           22.000000          0.461313
not-logged-in-ec69a303914e036d0c87  -2.250000  5.188127          4           11.250000          0.461167
                           Curette  -0.300000  2.213594         10            4.800000          0.461165
not-logged-in-7982acd400a69d1b0951  -1.000000  3.768289         11            8.181818          0.460569
                         anewman12  -0.250000  2.872281          4            6.250000          0.459565
                         jruiz1968  -3.307692  5.618194         13           12.230769          0.459349
                         AngelYang  -2.200000  2.387467          5            5.200000          0.459128
not-logged-in-40a49bd0b91b279820e8  -2.333333  1.527525          3            3.333333          0.458258
                          jasowiln  -1.333333  1.527525          3            3.333333          0.458258
                           AndreeC  -1.400000  6.131884         10           13.400000          0.457603
                            boscoe   1.250000  1.258306          4            2.750000          0.457566
                          BrawleyG   0.250000  1.258306          4            2.750000          0.457566
not-logged-in-1e357a0eacd7e7b518f2  -0.545455  3.777926         11            8.272727          0.456672
                      Stormthunder  -1.428571  3.457222          7            7.571429          0.456614
                           JamieSC  -1.600000  2.190890          5            4.800000          0.456435
                          jtrinh21  -2.125000  3.356763          8            7.375000          0.455154
not-logged-in-478b813ecc2135f2d488  -1.000000  2.160247          4            4.750000          0.454789
                         maxgalaxy   1.304878  2.323732         82            5.109756          0.454764
                     TopherToppins  -1.000000  2.000000          5            4.400000          0.454545
                    braydenjackson  -0.642857  2.173980          7            4.785714          0.454265
                          simotsik   0.142857  2.853569          7            6.285714          0.453977
                          nh012202  -1.634146  2.719442         82            6.000000          0.453240
                     mikeroberts17   1.250000  1.601504         28            3.535714          0.452951
not-logged-in-fee79c134fb35e9e1f2b   1.500000  1.581139          5            3.500000          0.451754
                         SAKCHAM13   1.200000  3.701351          5            8.200000          0.451384
not-logged-in-fec12c5cde635392a191  -0.857143  1.864454          7            4.142857          0.450041
                            Pebjac   0.142857  0.899735          7            2.000000          0.449868
                    HolmesMarzipan  -1.875000  2.642374          8            5.875000          0.449766
not-logged-in-a45223404d57f15afd27  -0.166667  2.020726          3            4.500000          0.449050
                          leah.sun   0.260870  1.053884         23            2.347826          0.448877
not-logged-in-6c1133ccfb2e83f3e1f0  -2.428571  2.370453          7            5.285714          0.448464
                             Boeuz  -0.600000  2.509980          5            5.600000          0.448211
                           mcasram   0.125000  2.825479         16            6.312500          0.447601
                      mchoquette01  -0.200000  1.788854          5            4.000000          0.447214
                         Kristian1  -4.818182  5.363174         11           12.000000          0.446931
not-logged-in-3ff36f9c07358c46c4ad   2.666667  2.081666          3            4.666667          0.446071
                            gremly   0.320000  2.764658         25            6.200000          0.445913
                           mm11320  -2.285714  5.154748          7           11.571429          0.445472
                               JR9   0.000000  1.247219         10            2.800000          0.445435
not-logged-in-d7db50c831800c0b29fa  -1.000000  2.000000          4            4.500000          0.444444
                         matthewt_   0.500000  1.000000          4            2.250000          0.444444
not-logged-in-815a45ccb1d36eb0e29c  -0.750000  4.991660          4           11.250000          0.443703
                      roboticmight  -3.142857  3.484660          7            7.857143          0.443502
                            amt041  -1.800000  3.633180          5            8.200000          0.443071
                   CuriosityRovers  -1.714286  4.111540          7            9.285714          0.442781
                        ElisabethB  -0.047619  1.780002         42            4.023810          0.442367
                               EP1  -2.500000  3.316625          4            7.500000          0.442217
                           smith_p  -0.555556  2.554952          9            5.777778          0.442203
not-logged-in-7c2fa3e91c29cb92b0c4  -1.500000  3.535534          2            8.000000          0.441942
not-logged-in-7d29d71458d184131fc6  -5.000000  7.071068          2           16.000000          0.441942
                      MercifulLord  -5.000000  5.291503          3           12.000000          0.440959
                            Scipow  -2.562500  3.830680          8            8.687500          0.440942
                     KlingbeiCaleb  -0.916667  2.314316         12            5.250000          0.440822
                         river.dee  -2.875000  4.015595          8            9.125000          0.440065
                        petyerakne   3.250000  3.947573          4            9.000000          0.438619
not-logged-in-3ddc335ce29e5788d918   0.200000  2.280351          5            5.200000          0.438529
not-logged-in-9cf4d584f96e1b1c4e7f  -0.555556  3.745368          9            8.555556          0.437770
                        blisenbe95  -1.032258  3.600776         31            8.225806          0.437741
not-logged-in-fb708efd20eb0a3f4a51  -7.500000  9.192388          2           21.000000          0.437733
                            CHROM3   0.011976  2.222524        167            5.095808          0.436148
                         LOVELYJOY   3.333333  2.250926          6            5.166667          0.435663
                        SDReigstad   0.386364  1.741637         44            4.000000          0.435409
                        soryuasuka  -0.687500  1.387122          8            3.187500          0.435175
                      juliadulaney   1.000000  1.414214          4            3.250000          0.435143
                             Lilax   1.000000  1.414214          4            3.250000          0.435143
                             Krope  -0.571429  1.398586         14            3.214286          0.435116
                      rdzstephanie  -1.600000  3.130495          5            7.200000          0.434791
                            yanury   0.500000  4.123106          4            9.500000          0.434011
not-logged-in-91b6eb9f62c7adcd661b   0.125000  4.389517          8           10.125000          0.433533
                      Persimmon123   0.666667  1.154701          3            2.666667          0.433013
not-logged-in-f6a017ba554843d1b1b3   0.666667  1.154701          3            2.666667          0.433013
not-logged-in-072e8f9f3d62c4d7c79d  -0.333333  0.577350          3            1.333333          0.433013
not-logged-in-8f4e6efc810db28296cd  -1.333333  2.309401          3            5.333333          0.433013
not-logged-in-60d0b889b6314b16acc2   0.666667  0.577350          3            1.333333          0.433013
not-logged-in-c83f2304994f2b354eca   0.333333  0.577350          3            1.333333          0.433013
not-logged-in-d3a80bb34e009b202378  -2.333333  4.041452          3            9.333333          0.433013
                            Ye2B0y  -0.995238  3.013986        105            6.966667          0.432630
                          ndinard5   1.384615  2.328750         13            5.384615          0.432482
not-logged-in-bd1f63ffb8be026d4b4b  -0.400000  3.286335          5            7.600000          0.432413
                      adrianarroyo  -1.793651  3.762758         63            8.714286          0.431792
                            jtauer   0.666667  2.397916          9            5.555556          0.431625
                           Dsilcox  -0.153846  1.625123         13            3.769231          0.431155
                        Storchio31  -2.500000  4.203173          4            9.750000          0.431095
                     VanillaBean08   1.500000  4.949747          2           11.500000          0.430413
not-logged-in-2df04892273add49041b  -0.500000  4.949747          2           11.500000          0.430413
not-logged-in-0312711414f78ff59759  -1.166667  3.371449          6            7.833333          0.430398
not-logged-in-dfe60b611c08cf769e6b  -0.500000  1.290994          4            3.000000          0.430331
                           Erb2211   0.736842  2.376788         19            5.526316          0.430086
not-logged-in-23640994313fe52877d8  -0.800000  2.489980          5            5.800000          0.429307
                         Arrowmoth   0.045455  1.326552         22            3.090909          0.429179
not-logged-in-b04ebb954ac2fcd92af0   4.000000  4.000000          3            9.333333          0.428571
                          fatima22  -1.250000  1.500000          4            3.500000          0.428571
                          kai_mace   0.000000  1.000000          3            2.333333          0.428571
                          GAoussat  -3.900000  4.581363         10           10.700000          0.428165
                      HaileyNoszek   0.000000  2.354327         36            5.500000          0.428060
                      ghenderson18  -4.000000  6.414270          8           15.000000          0.427618
not-logged-in-c5ea14096462ab1fc21f  -2.600000  4.615192          5           10.800000          0.427333
                        betelyisak  -0.923077  2.465142         13            5.769231          0.427291
not-logged-in-7ab212ec8ab2fa9c7bfa  -2.200000  2.049390          5            4.800000          0.426956
                        MyladyLisa  -2.000000  2.486326         12            5.833333          0.426227
                        Naami_2014  -0.250000  0.957427          4            2.250000          0.425523
                         jakettroy  -3.500000  5.744563          4           13.500000          0.425523
                        colekemp36  -0.750000  3.403430          4            8.000000          0.425429
                            RuthKC  -0.941176  2.276801         17            5.352941          0.425336
                          tdeamone  -1.280000  4.363867         25           10.280000          0.424501
                            ozweig   1.500000  2.121320          2            5.000000          0.424264
                     yannickholmes  -1.500000  2.121320          2            5.000000          0.424264
                           mazeoff  -1.500000  2.121320          2            5.000000          0.424264
                           Eric_C.  28.000000  4.242641          2           10.000000          0.424264
                      Nabil_Shaban   1.500000  2.121320          2            5.000000          0.424264
                            Cnohra  -0.500000  2.121320          2            5.000000          0.424264
not-logged-in-531ea46825fd407c666d   1.500000  2.121320          2            5.000000          0.424264
                          lwichael   1.500000  2.121320          2            5.000000          0.424264
                             Deeja  -1.500000  2.121320          2            5.000000          0.424264
                           MeetMei  -0.500000  2.121320          2            5.000000          0.424264
                             DaleL  -1.326087  2.309924         46            5.456522          0.423333
                            Mila.M  -3.200000  4.147288          5            9.800000          0.423193
                 aristarchvonsamos   0.928571  2.234839         14            5.285714          0.422807
                           GBeisel  -1.500000  5.282045          6           12.500000          0.422564
                 Astronomy_is_cool   1.000000  4.358899          3           10.333333          0.421829
                            zena_b   1.000000  5.196152          3           12.333333          0.421310
                            Majo08   2.142857  3.278300         14            7.785714          0.421066
not-logged-in-c70b02b20d9f8ac2e339  -2.666667  3.785939          3            9.000000          0.420660
                           kbludwi  -1.391176  2.434025        170            5.797059          0.419872
                   mackenzieconway   0.333333  2.516611          3            6.000000          0.419435
                          powenyao   1.428571  2.935821          7            7.000000          0.419403
                              OLI_  -0.193548  2.455096         62            5.854839          0.419328
                  WilliamCourtney1   5.250000  4.716991          4           11.250000          0.419288
                      Sovanacharya  -0.214286  1.286375          7            3.071429          0.418820
              Listening_salamander  -0.560000  2.278202         50            5.440000          0.418787
                           AZunker  -1.285714  2.751623          7            6.571429          0.418725
                        JessieLynn   0.026596  3.681081         94            8.803191          0.418153
                          nharri54   0.166667  2.926887          6            7.000000          0.418127
                      Reyes2193791  -5.500000  9.192388          2           22.000000          0.417836
                       RileyWhelan  -0.067073  3.577591        164            8.567073          0.417598
not-logged-in-5cd9d69d9390b0eb8541  -0.750000  1.982062          8            4.750000          0.417276
                            Rattus   0.538732  1.905641        142            4.573944          0.416630
not-logged-in-1087424e4ee935695d79  -0.333333  1.527525          3            3.666667          0.416598
not-logged-in-90bd1e2427a5a8ce6e49  -0.333333  1.527525          3            3.666667          0.416598
                        RK_Quentin   0.666667  1.527525          3            3.666667          0.416598
                        ollynelson   5.000000  4.582576          3           11.000000          0.416598
                         mayavigil   1.666667  3.055050          3            7.333333          0.416598
                       voyager1977   0.636364  1.286291         11            3.090909          0.416153
                        Bopple4160   4.333333  5.131601          3           12.333333          0.416076
                        djeong1228  -5.000000  7.071068          2           17.000000          0.415945
                           SagioV6   0.142857  2.968084          7            7.142857          0.415532
                           acb2226  -0.807692  1.677529         13            4.038462          0.415388
