VOLUNTEER QUALITY CONTROL
                      volunteer_id       bias   scatter  n_overlap  teolixx_mean_count  relative_scatter
not-logged-in-17de427e26d7516c1c57  -0.600000  6.730527          5            5.600000          1.201880
                           rwils53   0.000000  3.605551          3            3.000000          1.201850
                        Tashfi2025   0.348837  8.074313         86            6.720930          1.201368
not-logged-in-08cf83f4091cd9034fe1  -3.000000  6.000000          4            5.000000          1.200000
                         vivekjain  -1.250000  4.193249          4            3.500000          1.198071
                         Bambixoxo  -2.125000  5.540436          8            4.625000          1.197932
not-logged-in-0974c9ab2412423d22c7  -1.400000  9.547542         10            8.000000          1.193443
                   PrinceMatip12th  -2.844037  6.666909        109            5.605505          1.189350
                        Charles111  -5.625000  9.603602          4            8.125000          1.181982
                 parmagnus_utep577   1.000000  6.497863         10            5.500000          1.181430
                      reece.randig  -2.571429  7.253899          7            6.142857          1.180867
not-logged-in-4af2e0eb4a3fbb8a1e26   0.375000  2.065879          8            1.750000          1.180502
not-logged-in-a38e70a4db070060f956  -3.666667  5.507571          3            4.666667          1.180194
                       Niharika_27  15.600000  8.018728          5            6.800000          1.179225
                JeshanSoosainathan   4.000000  7.071068          2            6.000000          1.178511
                  summerflaherty99  -1.500000  3.535534          2            3.000000          1.178511
not-logged-in-bf992167503f7b3952b2  -4.200000  9.654015          5            8.200000          1.177319
                      acoleman2024   2.562500  4.925698         16            4.187500          1.176286
                          ogrzesko  -4.500000 10.660856         14            9.071429          1.175212
